CustomerID	Country	City	State	PostalCode	Region
12520	UnitedStates	Henderson	Kentucky	42420	South
12521	UnitedStates	Henderson	Kentucky	42420	South
12522	UnitedStates	LosAngeles	California	90036	West
12523	UnitedStates	FortLauderdale	Florida	33311	South
12524	UnitedStates	FortLauderdale	Florida	33311	South
12525	UnitedStates	LosAngeles	California	90032	West
12526	UnitedStates	LosAngeles	California	90032	West
12527	UnitedStates	LosAngeles	California	90032	West
12528	UnitedStates	LosAngeles	California	90032	West
12529	UnitedStates	LosAngeles	California	90032	West
12530	UnitedStates	LosAngeles	California	90032	West
12531	UnitedStates	LosAngeles	California	90032	West
12532	UnitedStates	Concord	NorthCarolina	28027	South
12533	UnitedStates	Seattle	Washington	98103	West
12534	UnitedStates	FortWorth	Texas	76106	Central
12535	UnitedStates	FortWorth	Texas	76106	Central
12536	UnitedStates	Madison	Wisconsin	53711	Central
12537	UnitedStates	WestJordan	Utah	84084	West
12538	UnitedStates	SanFrancisco	California	94109	West
12539	UnitedStates	SanFrancisco	California	94109	West
12540	UnitedStates	SanFrancisco	California	94109	West
12541	UnitedStates	Fremont	Nebraska	68025	Central
12542	UnitedStates	Fremont	Nebraska	68025	Central
12543	UnitedStates	Philadelphia	Pennsylvania	19140	East
12544	UnitedStates	Orem	Utah	84057	West
12545	UnitedStates	LosAngeles	California	90049	West
12546	UnitedStates	LosAngeles	California	90049	West
12547	UnitedStates	Philadelphia	Pennsylvania	19140	East
12548	UnitedStates	Philadelphia	Pennsylvania	19140	East
12549	UnitedStates	Philadelphia	Pennsylvania	19140	East
12550	UnitedStates	Philadelphia	Pennsylvania	19140	East
12551	UnitedStates	Philadelphia	Pennsylvania	19140	East
12552	UnitedStates	Philadelphia	Pennsylvania	19140	East
12553	UnitedStates	Philadelphia	Pennsylvania	19140	East
12554	UnitedStates	Houston	Texas	77095	Central
12555	UnitedStates	Richardson	Texas	75080	Central
12556	UnitedStates	Richardson	Texas	75080	Central
12557	UnitedStates	Houston	Texas	77041	Central
12558	UnitedStates	Houston	Texas	77041	Central
12559	UnitedStates	Houston	Texas	77041	Central
12560	UnitedStates	Houston	Texas	77041	Central
12561	UnitedStates	Naperville	Illinois	60540	Central
12562	UnitedStates	LosAngeles	California	90049	West
12563	UnitedStates	Melbourne	Florida	32935	South
12564	UnitedStates	Eagan	Minnesota	55122	Central
